Designator,Mid X,Mid Y,Rotation,Layer
D1,64.5,-128.65,90.0,bottom
D10,235.5,-128.46,90.0,bottom
D11,254.5,-128.46,90.0,bottom
D12,273.5,-128.46,90.0,bottom
D13,292.5,-128.46,90.0,bottom
D14,312.5,-128.46,90.0,bottom
D15,64.5,-147.65,90.0,bottom
D16,92.5,-147.65,90.0,bottom
D17,111.5,-147.84,90.0,bottom
D18,130.5,-147.46,90.0,bottom
D19,149.5,-147.65,90.0,bottom
D2,83.5,-128.46,90.0,bottom
D20,168.5,-147.65,90.0,bottom
D21,188.5,-146.65,90.0,bottom
D22,206.5,-146.46,90.0,bottom
D23,226.5,-146.46,90.0,bottom
D24,245.5,-147.46,90.0,bottom
D25,264.5,-147.46,90.0,bottom
D26,283.5,-147.46,90.0,bottom
D27,302.5,-146.65,90.0,bottom
D28,321.5,-146.65,90.0,bottom
D29,64.5,-167.65,90.0,bottom
D3,102.5,-128.46,90.0,bottom
D30,97.5,-166.65,90.0,bottom
D31,116.5,-166.65,90.0,bottom
D32,135.5,-166.65,90.0,bottom
D33,154.5,-166.65,90.0,bottom
D34,173.5,-166.65,90.0,bottom
D35,192.5,-166.46,90.0,bottom
D36,211.5,-165.84,90.0,bottom
D37,230.5,-165.65,90.0,bottom
D38,249.5,-165.46,90.0,bottom
D39,269.0,-165.65,90.0,bottom
D4,121.5,-127.95,90.0,bottom
D40,287.5,-165.84,90.0,bottom
D41,307.5,-165.65,90.0,bottom
D42,64.5,-185.65,90.0,bottom
D43,106.5,-185.46,90.0,bottom
D44,126.5,-185.65,90.0,bottom
D45,145.5,-185.65,90.0,bottom
D46,164.5,-185.46,90.0,bottom
D47,183.5,-185.65,90.0,bottom
D48,202.5,-185.84,90.0,bottom
D49,221.5,-185.65,90.0,bottom
D5,140.5,-128.65,90.0,bottom
D50,240.5,-185.65,90.0,bottom
D51,259.5,-185.65,90.0,bottom
D52,278.5,-185.84,90.0,bottom
D53,297.5,-186.46,90.0,bottom
D54,64.5,-204.84,90.0,bottom
D55,88.5,-204.84,90.0,bottom
D56,111.5,-204.46,90.0,bottom
D57,135.5,-204.46,90.0,bottom
D58,254.5,-204.46,90.0,bottom
D59,278.5,-204.46,90.0,bottom
D6,159.5,-128.65,90.0,bottom
D60,302.5,-204.65,90.0,bottom
D61,326.5,-204.84,90.0,bottom
D62,316.5,-106.65,90.0,bottom
D63,343.5,-106.46,90.0,bottom
D64,225.73,-106.15,0.0,top
D65,188.23,-106.15,0.0,top
D66,148.73,-106.15,0.0,top
D67,238.23,-106.15,0.0,top
D68,200.73,-106.15,0.0,top
D69,162.23,-106.15,0.0,top
D7,178.5,-127.95,90.0,bottom
D70,250.73,-106.15,0.0,top
D71,213.23,-106.15,0.0,top
D72,175.73,-106.15,0.0,top
D8,197.5,-128.46,90.0,bottom
D9,216.5,-128.46,90.0,bottom
R1,130.77,-99.9,0.0,bottom
R2,130.77,-104.65,0.0,bottom
R3,130.77,-109.4,0.0,bottom
SW1,73.79125,-126.01875,0.0,top
SW10,245.27825,-126.01875,0.0,top
SW11,264.29125,-126.01875,0.0,top
SW12,283.34125,-126.01875,0.0,top
SW13,302.39125,-126.01875,0.0,top
SW14,331.07325,-128.96625,0.0,top
SW15,78.55375,-145.06875,0.0,top
SW16,102.30525,-145.06875,0.0,top
SW17,121.35525,-145.06875,0.0,top
SW18,140.40525,-145.06875,0.0,top
SW19,159.45525,-145.06875,0.0,top
SW2,92.84125,-126.01875,0.0,top
SW20,178.50525,-145.06875,0.0,top
SW21,197.55525,-145.06875,0.0,top
SW22,216.75125,-145.06875,0.0,top
SW23,235.78125,-145.06875,0.0,top
SW24,254.85125,-145.06875,0.0,top
SW25,273.88125,-145.06875,0.0,top
SW26,292.91125,-145.06875,0.0,top
SW27,311.99625,-145.06875,0.0,top
SW28,335.86125,-145.06875,0.0,top
SW29,80.935,-164.11875,0.0,top
SW3,111.89125,-126.01875,0.0,top
SW30,107.12875,-164.11875,0.0,top
SW31,126.17875,-164.11875,0.0,top
SW32,145.22875,-164.11875,0.0,top
SW33,164.27875,-164.11875,0.0,top
SW34,183.32875,-164.11875,0.0,top
SW35,202.37875,-164.11875,0.0,top
SW36,221.42875,-164.11875,0.0,top
SW37,240.47875,-164.11875,0.0,top
SW38,259.52875,-164.11875,0.0,top
SW39,278.57875,-164.11875,0.0,top
SW4,130.94125,-126.01875,0.0,top
SW40,297.62875,-164.11875,0.0,top
SW41,328.72425,-167.06625,0.0,top
SW42,85.6975,-186.11625,0.0,top
SW43,116.65375,-183.16875,0.0,top
SW44,135.70375,-183.16875,0.0,top
SW45,154.75375,-183.16875,0.0,top
SW46,173.80375,-183.16875,0.0,top
SW47,192.86925,-183.16875,0.0,top
SW48,211.91925,-183.16875,0.0,top
SW49,230.98825,-183.16875,0.0,top
SW5,149.99125,-126.01875,0.0,top
SW50,250.05225,-183.16875,0.0,top
SW51,269.14925,-183.16875,0.0,top
SW52,288.23325,-183.16875,0.0,top
SW53,323.98925,-186.17075,0.0,top
SW54,76.19175,-202.2185,0.0,top
SW55,100.01575,-202.2445,0.0,top
SW56,123.76575,-202.2315,0.0,top
SW57,195.28375,-205.162,0.0,top
SW58,266.78275,-202.2225,0.0,top
SW59,290.58875,-202.2755,0.0,top
SW6,169.04125,-126.01875,0.0,top
SW60,314.42975,-202.3025,0.0,top
SW61,338.28375,-202.3035,0.0,top
SW62,306.0,-106.15,0.0,top
SW63,333.5,-106.15,0.0,top
SW7,188.09125,-126.01875,0.0,top
SW8,207.16125,-126.01875,0.0,top
SW9,226.19125,-126.01875,0.0,top
U1,87.735,-105.36,90.0,top
